GENE	FREQ
UBE2C	3
GPT	3
GRB10	3
CXCL1	3
CHEK2	3
HCRT	3
INS-IGF2	3
HGD	3
HLA-A	3
HLA-DRB4	3
FOXA1	3
HOXB3	3
HSD11B1	3
IGFBP2	3
IGFBP4	3
IGFBP7	3
NIM1	3
IKBKB	3
IL7R	3
IL11	3
IL13	3
INSL3	3
ANGPTL4	3
ITGA5	3
ITK	3
JAK1	3
JUNB	3
JUP	3
KCNJ2	3
KRT8	3
KRT14	3
STMN1	3
LCN2	3
ENO1	3
LDHC	3
LOX	3
EPCAM	3
MAN2B1	3
MCM7	3
MMP16	3
DEXI	3
CCDC80	3
MSN	3
MT1A	3
TRNAS4	3
MUC4	3
MUC5AC	3
FXYD5	3
NBN	3
NCL	3
NFE2L2	3
NFKBIL1	3
NNMT	3
NOS1	3
MICU1	3
NPM1	3
NTF3	3
ADAT2	3
SH3D19	3
PRDX1	3
PAK1	3
PAK3	3
PC	3
PDGFRA	3
PENK	3
PGF	3
PLXNA2	3
UBQLN1	3
POU2F1	3
PPA1	3
MIRLET7F1	3
PRKAA2	3
FEV	3
PSPN	3
AIFM1	3
PGPEP1	3
TAS2R38	3
ERRFI1	3
PTMA	3
PTPRA	3
RAD51	3
RAN	3
RBL1	3
RNASE1	3
RPS6	3
S100A6	3
CCL20	3
CCL21	3
SDHD	3
SELP	3
SIX1	3
SLC2A4	3
SLC16A2	3
SNAI2	3
SMN1	3
SNAI1	3
NCOA6	3
PPRC1	3
PEG10	3
SSTR4	3
NOS2P1	3
STAT5A	3
STK3	3
AURKA	3
KANK1	3
TAC1	3
HNF1B	3
ZEB1	3
NR2F2	3
TFRC	3
AKTIP	3
NARFL	3
TLN1	3
TLR1	3
TLR2	3
TP53BP1	3
TRNAU1	3
TSG101	3
TTF1	3
TXN	3
RXFP2	3
UQCRB	3
VCL	3
VWF	3
XRCC4	3
GGT2	3
MAP3K8	3
ACACA	2
ACHE	2
SCYL1	2
CR2	2
EPX	2
ADA	2
ADCY3	2
ADORA1	2
ADRA1B	2
ADRBK1	2
AGT	2
ALDH1A1	2
ALDH2	2
ALDH1B1	2
ALK	2
AMD1	2
AMH	2
SORBS2	2
ANXA6	2
ANXA11	2
APOF	2
IKBKG	2
BIRC5	2
GPT2	2
APOB	2
APOD	2
APOE	2
CDK10	2
ARAF	2
AREG	2
MADD	2
RHOB	2
ARNT	2
BIRC8	2
NCOA1	2
PNCK	2
ATF4	2
RERE	2
ATP1A1	2
SLC4A4	2
ATP1A4	2
BECN1	2
ATP6V0C	2
MIR224	2
RIPK1	2
AVPR2	2
AZF1	2
BAG1	2
RAB11A	2
MDK	2
FADD	2
BCHE	2
TNFRSF11A	2
BCL6	2
CEACAM1	2
BLM	2
BMP3	2
TMEM37	2
PICALM	2
CDK5R1	2
FCGBP	2
STK19	2
BRCA1	2
BRCA2	2
SPHK1	2
BTF3	2
BTK	2
CCNA1	2
MB	2
MPPED2	2
BTRC	2
XAF1	2
PDGFC	2
TMEM50B	2
CA2	2
CALB1	2
SOCS3	2
CASQ1	2
CAV3	2
FAM20A	2
CCKAR	2
KRIT1	2
CCNE1	2
CCNH	2
CD1C	2
CD2	2
CD3E	2
CD36	2
SYNGR2	2
CD40	2
CD74	2
EBAG9	2
IL1RL1	2
CDC25A	2
CDC25B	2
CDC42	2
CDH2	2
CDK9	2
CDKN2C	2
CEBPA	2
CEL	2
CFL1	2
CHEK1	2
CHRM1	2
TRIP11	2
CISH	2
CKS2	2
CLA3	2
TFF2	2
ABCC2	2
GSTO1	2
CNR2	2
COL1A1	2
COL1A2	2
ODC1	2
ABI3BP	2
POT1	2
PTGES	2
CLDN4	2
CLDN7	2
CPOX	2
GABBR2	2
NR1D1	2
ATF2	2
CRK	2
SNED1	2
CS	2
CSF1	2
CSF1R	2
CSK	2
SH3PXD2A	2
CST3	2
CST4	2
CTF1	2
CTNNA1	2
CTSH	2
CTSK	2
CYBB	2
HT	2
SMARCB1	2
CYP2F1	2
RAPGEF5	2
CYP7A1	2
CYP27A1	2
DAPK3	2
DCC	2
DCK	2
CABLES1	2
ACPP	2
DFFA	2
TINF2	2
MRC2	2
FUS	2
SARDH	2
CKAP4	2
MVP	2
DNASE1L1	2
DECR1	2
DPYD	2
KCNE3	2
HDAC6	2
BCL2L11	2
HBEGF	2
DUSP5	2
HBA1	2
E2F3	2
E2F4	2
ECE1	2
NUPR1	2
EDA	2
S1PR1	2
S1PR3	2
WDPCP	2
ACTR1A	2
FSD1L	2
EFNB2	2
EGR1	2
TOP2B	2
EIF4EBP1	2
RCL1	2
HRH4	2
ELK1	2
PSME3	2
RXFP1	2
EMP1	2
ENG	2
EPHA8	2
EPHB4	2
MTG1	2
EPS8	2
SPRY2	2
ERCC1	2
ESRRG	2
ETV3	2
RERG	2
EZH2	2
BPNT1	2
FBN1	2
FCGR3A	2
YAP1	2
PPP1R1B	2
FES	2
FAM3C	2
FGFR3	2
FGR	2
REV1	2
FLI1	2
MLANA	2
FLT3LG	2
HSD17B7	2
NELFCD	2
HLA-DRB1	2
SLC34A2	2
ECD	2
IGF2BP3	2
PMVK	2
DIEXF	2
CTCF	2
EBP	2
FTH1	2
FOXP1	2
G6PC	2
GABPA	2
HBS1L	2
GALE	2
WWOX	2
CD244	2
LUC7L3	2
HOPX	2
ATP8A2	2
GAS1	2
GATA6	2
SIK1	2
GCHFR	2
LILRB1	2
GGT1	2
WDR3	2
GIP	2
MALT1	2
LYVE1	2
AFAP1L2	2
HPGDS	2
GLI2	2
GLP1R	2
GLUL	2
GNB3	2
GNRHR	2
NDUFA13	2
GPD2	2
GPER1	2
OGFR	2
GRK5	2
RAPGEF4	2
GPX4	2
GPX7	2
ESM1	2
ADAMTS8	2
ELN	2
GSTM2	2
HABP2	2
HBA2	2
SLC25A19	2
HCK	2
HTT	2
HK1	2
HK3	2
UCHL1	2
HLA-DQA1	2
PARK7	2
HLA-DRB5	2
HLA-L	2
FOXA2	2
ONECUT1	2
HPGD	2
ERAS	2
HRH2	2
HES1	2
HSD17B1	2
HSPA4	2
HSPA5	2
CST6	2
HSPB2	2
IGSF3	2
IARS	2
ICAM3	2
ID2	2
ID4	2
IGF2R	2
IGFBP1	2
IGHG1	2
IGL	2
IL1R1	2
IL1RAP	2
IL1RN	2
IL6ST	2
IL7	2
CXCR2	2
ILK	2
IRF1	2
TRIM24	2
ITGB4	2
SP3	2
KCNH2	2
TAAR9	2
KIR3DS1	2
KLRC1	2
KNG1	2
KRT10	2
KRT13	2
DHRS2	2
LALBA	2
LAMC2	2
TP53INP1	2
LEPR	2
LGALS7	2
LPL	2
LSM7	2
LY6E	2
LYN	2
MAGEA3	2
MAOA	2
MAOB	2
MARK3	2
MAX	2
EPOR	2
MC1R	2
MCM3	2
MCM5	2
CD46	2
TMEM173	2
IGLV7-43	2
IGLV3-9	2
IGLV2-8	2
IGLJ7	2
KITLG	2
CIITA	2
CXCL9	2
MMP12	2
MST1	2
MT1X	2
COX2	2
ND1	2
UHRF1	2
MUC6	2
MYOG	2
HNRNPM	2
NPR1	2
NRTN	2
ROR2	2
NTSR1	2
NR4A2	2
ORM2	2
IL5	2
OXT	2
PAX1	2
PAX2	2
PAX5	2
FCGR2A	2
HCC	2
PCK2	2
PCM1	2
PDHA1	2
PDK1	2
RUNX1T1	2
PHB	2
MTPN	2
PIN1	2
PITX2	2
PLA2G1B	2
TRA2A	2
PLD1	2
DPP7	2
NEU4	2
POU4F2	2
MED1	2
MIR10A	2
MIR10B	2
UGT1A1	2
MIR130B	2
MIR138-2	2
PPP5C	2
CYP2R1	2
PREP	2
PRKCD	2
STOML2	2
PRKDC	2
PRKG1	2
MAPK7	2
MAPK10	2
EIF2AK2	2
MIR30D	2
MIR34A	2
PRSS1	2
PRSS2	2
LXN	2
PSMB9	2
PTGFR	2
PTMS	2
PTPN13	2
RAB27A	2
RAD52	2
RALGDS	2
RAP1B	2
RAP2A	2
RBP3	2
TRIM27	2
RLN1	2
RLN2	2
SNORA62	2
RNH1	2
LEPREL1	2
ROCK1	2
CDK5	2
SELL	2
RPS6KA1	2
RPS8	2
KCNIP3	2
S100A9	2
SAA1	2
CAMK2N1	2
ATXN1	2
SDHA	2
SDHC	2
SELE	2
MAP2K4	2
SRSF1	2
TRMT1	2
ST6GAL1	2
DUT	2
SLC6A7	2
SLC22A1	2
PDGFD	2
SNAP25	2
MBOAT1	2
CHI3L1	2
PERP	2
TRIM21	2
SSRP1	2
SSX1	2
NEK4	2
IFIH1	2
BAIAP2L1	2
LPHN2	2
TBX1	2
TBXAS1	2
ESCO1	2
HNF1A	2
MIR31	2
TRA	2
TRG	2
SPPL3	2
CRTC1	2
DYNLT3	2
MUC5B	2
TERF2	2
TFAP2A	2
TFCP2L1	2
NR2F1	2
SIRT1	2
ITIH5	2
TFPI	2
TGFBR1	2
THPO	2
TIAM1	2
TIMP4	2
TMPO	2
TMSB4X	2
CLEC3B	2
TNFRSF1B	2
TNS1	2
TOP2A	2
TPSB2	2
CDK20	2
NR2C2	2
TRAF6	2
TRHR	2
TYRO3	2
SLC2A10	2
SECISBP2	2
UGT8	2
UROD	2
VDAC1	2
DHRS3	2
DGCR8	2
VTN	2
WBS2	2
WNT2	2
TMPRSS4	2
POLE4	2
YY1	2
SREBF2	2
FRS2	2
PAK6	2
SGPP1	2
CHPT1	2
GFRA2	2
SCLC1	2
PRRC2A	2
GHSR	2
MARCH8	2
STK11	2
GYPB	2
NR4A3	2
SSPN	2
COIL	2
CXCL14	2
A2M	1
INSC	1
NRIP1	1
AABT	1
ABCA4	1
AICDA	1
LOC100507703	1
ACTA1	1
NAA10	1
GTF2IRD1	1
ACVR1	1
ACVR1B	1
ACVRL1	1
NDRG3	1
SLITRK1	1
UCN2	1
ADCY9	1
ADCYAP1	1
ADCYAP1R1	1
CDC7	1
EOMES	1
FZD1	1
FZD4	1
ADRA1D	1
ADRA2B	1
ADRBK2	1
AP1G1	1
AGER	1
AHSG	1
AIM1	1
AK1	1
PLA2G6	1
