GENE	FREQ
KTN1	1
CDCA5	1
SLC17A4	1
SSR1	1
MUC16	1
NOS2P3	1
E2F4	1
PIWIL2	1
POT1	1
RDPA	1
PRRT2	1
TRIM27	1
TBL1XR1	1
DUOX1	1
LDHB	1
AHR	1
LDLR	1
LPAR1	1
PLBD2	1
LGALS1	1
LGALS3BP	1
RHO	1
RIT1	1
TLR10	1
RERE	1
CCNE2	1
NMTC1	1
PPBPP1	1
FSD1L	1
SSPN	1
RNASE2	1
NAMPT	1
RNASEL	1
NCL	1
LMNB1	1
NF1	1
FBXO9	1
ABCE1	1
CDC7	1
EIF4EBP1	1
XDH	1
NPRL3	1
LRP2	1
CDH16	1
LRPAP1	1
HRH4	1
ALYREF	1
SLC45A2	1
AK1	1
EMP1	1
MPZL2	1
AKAP1	1
IMMP2L	1
PDZRN4	1
TRIB1	1
BAALC	1
SMAD6	1
JMJD6	1
EPHA8	1
